lambda (nm), TOA Flux (W/m2/nm)
115.5,1.421996e-05
116.5,2.411851e-05
117.5,7.869019e-05
118.5,3.227682e-05
119.5,5.243167e-05
120.5,0.0001482331
121.5,0.006281918
122.5,6.437864e-05
123.5,4.06446e-05
124.5,2.951843e-05
125.5,2.701777e-05
126.5,3.660314e-05
127.5,1.977164e-05
128.5,1.53721e-05
129.5,1.743138e-05
130.5,0.0001491407
131.5,2.439157e-05
132.5,1.956967e-05
133.5,0.0001765205
134.5,1.823503e-05
135.5,4.141993e-05
136.5,2.598968e-05
137.5,2.804737e-05
138.5,2.772236e-05
139.5,7.070024e-05
140.5,6.181074e-05
141.5,3.885496e-05
142.5,4.173554e-05
143.5,4.760701e-05
144.5,4.662577e-05
145.5,4.958548e-05
146.5,6.115163e-05
147.5,7.617848e-05
148.5,7.792113e-05
149.5,7.02369e-05
150.5,7.87243e-05
151.5,8.492763e-05
152.5,0.000106467
153.5,0.0001176112
154.5,0.0001950593
155.5,0.0001740388
156.5,0.0001779736
157.5,0.0001586464
158.5,0.0001586264
159.5,0.0001585037
160.5,0.0001765482
161.5,0.0002070207
162.5,0.0002378985
163.5,0.0002540835
164.5,0.00029326
165.5,0.0004650686
166.5,0.0003197883
167.5,0.0003763504
168.5,0.0004169348
169.5,0.0005528748
170.5,0.0006383203
171.5,0.0006425919
172.5,0.0007048688
173.5,0.0007117136
174.5,0.0008703063
175.5,0.001060406
176.5,0.001148595
177.5,0.001388244
178.5,0.001544187
179.5,0.001532679
180.5,0.00192768
181.5,0.002305573
182.5,0.002230851
183.5,0.002388961
184.5,0.002094356
185.5,0.002381403
186.5,0.002730028
187.5,0.003045666
188.5,0.003251578
189.5,0.003560935
190.5,0.003762196
191.5,0.004018429
192.5,0.00431396
193.5,0.003385045
194.5,0.005420236
195.5,0.005245784
196.5,0.005876779
197.5,0.005927858
198.5,0.005962385
199.5,0.006455619
200.5,0.00700677
201.5,0.007720818
202.5,0.007636689
203.5,0.008789944
204.5,0.009731705
205.5,0.0100436
206.5,0.01042458
207.5,0.01204647
208.5,0.01389247
209.5,0.02010862
210.5,0.02611819
211.5,0.03158801
212.5,0.0303636
213.5,0.02753924
214.5,0.03925533
215.5,0.0324032
216.5,0.03126986
217.5,0.03037092
218.5,0.04344048
219.5,0.04550833
220.5,0.04510315
221.5,0.03195788
222.5,0.04699894
223.5,0.05966735
224.5,0.05490586
225.5,0.04838949
226.5,0.03404848
227.5,0.03443024
228.5,0.04927461
229.5,0.04180068
230.5,0.05083256
231.5,0.04366658
232.5,0.0469049
233.5,0.03925456
234.5,0.03176444
235.5,0.05099812
236.5,0.03925266
237.5,0.04750635
238.5,0.03253902
239.5,0.04015554
240.5,0.03690893
241.5,0.04330108
242.5,0.06532516
243.5,0.05988308
244.5,0.05728429
245.5,0.04541365
246.5,0.04572679
247.5,0.05291386
248.5,0.04075524
249.5,0.05236003
250.5,0.05501869
251.5,0.04245687
252.5,0.03761711
253.5,0.04846779
254.5,0.05360918
255.5,0.07592006
256.5,0.09082752
257.5,0.1128257
258.5,0.1200904
259.5,0.09968928
260.5,0.08123209
261.5,0.07976964
262.5,0.1012544
263.5,0.1490983
264.5,0.2316586
265.5,0.2416153
266.5,0.2347752
267.5,0.2349998
268.5,0.2361333
269.5,0.211249
270.5,0.267313
271.5,0.2216973
272.5,0.1767088
273.5,0.2015302
274.5,0.1176755
275.5,0.1728088
276.5,0.2371599
277.5,0.2365328
278.5,0.1563198
279.5,0.07410654
280.5,0.08635885
281.5,0.2021546
282.5,0.2832126
283.5,0.3163299
284.5,0.2428021
285.5,0.123688
286.5,0.3266406
287.5,0.3576771
288.5,0.2986915
289.5,0.4470426
290.5,0.5978922
291.5,0.556908
292.5,0.4850207
293.5,0.5519094
294.5,0.4982085
295.5,0.5604692
296.5,0.494375
297.5,0.5324423
298.5,0.3920698
299.5,0.5456013
300.5,0.3631364
301.5,0.4926007
302.5,0.4842654
303.5,0.6347386
304.5,0.5976894
305.5,0.6207171
306.5,0.5716631
307.5,0.6559801
308.5,0.6603506
309.5,0.4995074
310.5,0.626263
311.5,0.7392079
312.5,0.6392928
313.5,0.6904597
314.5,0.6305172
315.5,0.6466531
316.5,0.5883698
317.5,0.8159077
318.5,0.6245824
319.5,0.685002
320.5,0.8425137
321.5,0.6651846
322.5,0.6939554
323.5,0.6442268
324.5,0.7686118
325.5,0.8573477
326.5,0.9734964
327.5,0.9410525
328.5,0.871079
329.5,1.065811
330.5,0.9797522
331.5,0.9657532
332.5,0.9333057
333.5,0.8900515
