lambda (mu),dust Be,dust g,dust omega,pollution Be,pollution g,pollution omega
0.4,1.35176498668766,0.684918189083149,0.952957516842135,1.31472827377841,0.724526988105081,0.704620200831243
0.5,1.10420886855227,0.672208548478277,0.950986341186733,1.10016226670205,0.715175906925654,0.703076455295124
0.6,0.895791131447729,0.662714258556918,0.945239876344874,0.899837733297952,0.705022406397149,0.699125316333563
0.7,0.729285051242475,0.654548185705599,0.938816247985303,0.752673571794372,0.6924802420028,0.689667046969286
0.8,0.621215229326113,0.648640689970084,0.928764963641466,0.66345368360372,0.678603167440069,0.680208777605009
0.9,0.559643963258309,0.643725937455962,0.918713679297629,0.594902712542598,0.668270412251754,0.666755947495927
1,0.488383389764076,0.63869167251909,0.903998725829683,0.531670012352622,0.661952338491909,0.652188729448493
1.1,0.413339532055283,0.633519830420285,0.875889670397305,0.468112148470738,0.655634264732063,0.637661909871343
1.2,0.361715653544308,0.634475237252729,0.861070467973196,0.404332970199373,0.654794520547945,0.623162055180869
1.3,0.327657574936573,0.636300766581615,0.850671332730784,0.376143334602949,0.654794520547945,0.608662200490395
1.4,0.302234399721918,0.638126295910501,0.840272197488372,0.349259000832735,0.654794520547945,0.593714801350925
1.5,0.275356910476637,0.643993019956676,0.830269533192752,0.318682218920373,0.659443778102586,0.577777075506167
1.6,0.240283153027332,0.650441912360002,0.820288461171661,0.284627599667386,0.664812880369255,0.561839349661408
1.7,0.220304347891118,0.656890804763328,0.81915748611049,0.264652904030728,0.670181982635923,0.549784995441218
1.8,0.200325542754904,0.663414861328085,0.824987937257719,0.251216923279655,0.67531772821288,0.538882767231359
1.9,0.184114955874109,0.671350648718227,0.830818388404947,0.239789570427097,0.679893083194245,0.531909734893227
2,0.174206223924132,0.679286436108368,0.836648839552176,0.229598253279599,0.68446843817561,0.524936702555096
2.1,0.164297491974154,0.68722222349851,0.842479290699405,0.219406936132101,0.689043793156975,0.517963670216964
2.2,0.154388760024177,0.695158010888651,0.848309741846634,0.209215618984604,0.69361914813834,0.510990637878832
2.3,0.143894263587531,0.703093798278793,0.849605737993863,0.199179520674193,0.701528563379637,0.504017605540701
2.4,0.13298103697269,0.713219984760207,0.832646069690661,0.189165023165533,0.712724534271239,0.490526597666509
2.5,0.122870298508403,0.725314005707302,0.815542816918237,0.179150525656873,0.723920505162842,0.476300918411553
2.6,0.122014765535555,0.737408026654396,0.786855329552749,0.169877741671097,0.734735312473398,0.462075239156597
2.7,0.121159232562706,0.749502047601491,0.75816784218726,0.170374755316819,0.741025555274926,0.44784955990164
2.8,0.120303699589858,0.761596068548585,0.729480354821771,0.170871768962542,0.747315798076453,0.434030054387873
2.9,0.11944816661701,0.766611925038081,0.700792867456283,0.171368782608264,0.753606040877981,0.420463958323657
3,0.118592633644162,0.76950772828466,0.683035775618091,0.171865796253987,0.759896283679509,0.406897862259441
3.1,0.117737100671314,0.772403531531239,0.668643925551579,0.172362809899709,0.766186526481036,0.393331766195225
3.2,0.116881567698465,0.775299334777817,0.654252075485067,0.172859823545432,0.762610683999481,0.379765670131009
3.3,0.11587030612431,0.777871647917962,0.639860225418554,0.173035601695767,0.757308457369562,0.379089659025532
3.4,0.113401914093697,0.77247356133867,0.625468375352042,0.170205624833248,0.752006230739642,0.389444154807677
3.5,0.110933522063083,0.767075474759377,0.644287643012915,0.167375647970729,0.746704004109722,0.399798650589823
3.6,0.10846513003247,0.761677388180084,0.671676224015945,0.164545671108209,0.741401777479803,0.410153146371968
3.7,0.105996738001856,0.756279301600792,0.734361619531233,0.160083085190719,0.741075673921612,0.430999863730308
3.8,0.103528345971243,0.750881215021499,0.795535204043938,0.153385574327098,0.743048975457939,0.452315404385302
3.9,0.101059953940629,0.745483128442207,0.853245023298294,0.146688063463477,0.745022276994267,0.473630945040295
4,0.0985915619100155,0.740085041862914,0.872215970196916,0.139990552599856,0.746995578530595,0.494946485695289
