wavelength,Grass,Conifer,Deciduous,Snow,Soil,Water,Conrete
0.302,2.9582,3.948,4.948,96.715,0.4147,3.6604,9.00
0.304,2.9759,3.961,4.961,96.715,0.4147,3.6604,9.18
0.306,2.9935,3.973,4.973,96.715,0.4147,3.7044,9.35
0.308,3.0112,3.986,4.986,96.715,0.4147,3.7044,9.52
0.31,3.0288,3.998,4.998,96.84,0.4147,3.7483,9.69
0.312,3.0465,4.011,5.011,96.84,0.4147,3.77,9.85
0.314,3.0641,4.023,5.023,96.84,0.4147,3.7923,10.02
0.316,3.0818,4.036,5.036,96.84,0.4147,3.8146,10.18
0.318,3.0994,4.048,5.048,96.84,0.4147,3.8363,10.35
0.32,3.1171,4.061,5.061,96.99,0.4147,3.858,10.52
0.322,3.1347,4.073,5.073,96.99,0.4147,3.8805,10.67
0.324,3.1523,4.086,5.086,96.99,0.4147,3.903,10.82
0.326,3.17,4.098,5.098,96.99,0.4147,3.9248,10.97
0.328,3.1877,4.111,5.111,96.99,0.4147,3.9466,11.12
0.33,3.2053,4.123,5.123,97.17,0.4147,3.9692,11.25
0.332,3.2229,4.136,5.136,97.17,0.4147,3.9918,11.39
0.334,3.2406,4.148,5.148,97.17,0.4147,4.0139,11.52
0.336,3.2582,4.161,5.161,97.17,0.4147,4.036,11.65
0.338,3.2759,4.173,5.173,97.17,0.4147,4.0588,11.78
0.34,3.2935,4.186,5.186,97.38,0.4147,4.0816,11.90
0.342,3.3112,4.198,5.198,97.38,0.4147,4.1041,12.01
0.344,3.3288,4.211,5.211,97.38,0.4147,4.1266,12.12
0.346,3.3465,4.223,5.223,97.38,0.4147,4.1496,12.23
0.348,3.3641,4.236,5.236,97.38,0.4147,4.1726,12.33
0.35,3.3818,4.248,5.248,97.43,0.4147,4.1956,12.43
0.352,3.3994,4.261,5.261,97.43,0.4147,4.2186,12.53
0.354,3.4171,4.273,5.273,97.43,0.4147,4.2419,12.63
0.356,3.4347,4.286,5.286,97.43,0.4147,4.2652,12.73
0.358,3.4524,4.298,5.298,97.43,0.4147,4.2886,12.81
0.36,3.47,4.311,5.311,97.54,0.4147,4.312,12.90
